ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts
4,,,,,,,,,25.830167294379013
33,,,,,,,,,9.195217090693413
49,,,,,,,,,7.642100978683872
37,,,,,,,,,12.630428872033525
OUT,,,,,,,,,0.22533039189722454
18,,,,,,,,,8.899732249665043
31,,,,,,,,,14.34290081986263
25,,,,,,,,,24.29046855551664
8,,,,,,,,,14.540078949021638
26,,,,,,,,,19.893618325149355
28,,,,,,,,,28.593410975495782
3,,,,,,,,,36.717524854345335
47,,,,,,,,,21.102716290701295
1,,,,,,,,,21.572391850001647
38,,,,,,,,,13.648466515773901
11,,,,,,,,,30.617742926787717
30,,,,,,,,,9.977482507377813
39,,,,,,,,,11.151394332591384
12,,,,,,,,,16.926050688811763
9,,,,,,,,,11.164904558831878
6,,,,,,,,,16.56779890435189
5,,,,,,,,,20.0168445621782
19,,,,,,,,,14.713343260565448
41,,,,,,,,,12.591110573443473
23,,,,,,,,,19.71795739819885
24,,,,,,,,,30.603848973653335
46,,,,,,,,,11.320254332948556
44,,,,,,,,,20.9504724918612
36,,,,,,,,,14.650381933467145
48,,,,,,,,,7.3089904309518925
27,,,,,,,,,26.36920498131129
50,,,,,,,,,7.28508246139057
7,,,,,,,,,10.191593675864306
15,,,,,,,,,14.502661747840323
34,,,,,,,,,11.306026620205232
40,,,,,,,,,10.809832416880736
10,,,,,,,,,16.73158189491111
2,,,,,,,,,40.500466587655026
22,,,,,,,,,11.199049817540393
35,,,,,,,,,13.713192302973411
32,,,,,,,,,34.057008232570816
17,,,,,,,,,16.494777708664035
21,,,,,,,,,18.497369839487675
16,,,,,,,,,21.35182845000423
45,,,,,,,,,12.433103585083945
OUT,,,,,,,,,3.989267901413726
42,,,,,,,,,13.88648292292404
13,,,,,,,,,11.84231662591609
14,,,,,,,,,14.816459122493384
OUT,,,,,,,,,0.08817780491903031
43,,,,,,,,,15.207427055313213
29,,,,,,,,,9.044917051399914
20,,,,,,,,,23.340583820060584
