ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts
4,41945,6221,31127,2625,1158,1114507971,17890,62296,19.527045647713074
33,52538,17384,1897,4806,27619,1147205607,17657,64970,12.133870424712002
49,49096,17948,14763,3133,11720,1037659301,19409,53461,10.69193856452751
37,45502,1134,29020,281,14489,518530637,12211,42463,11.643446671994466
OUT,1120,948,4,69,97,45624154,414,110146,0.2131823416960523
18,59993,5585,42942,406,10644,1200018686,19370,61952,11.408854883222665
31,61237,8808,2369,1188,48028,894856968,17117,52277,14.669862286512503
25,48287,8662,3788,6768,28417,873836809,17249,50657,15.21818730244855
8,49613,405,48357,161,398,1039404983,20600,50455,14.460816816799827
26,50299,11798,7336,721,29823,926594125,17010,54470,20.15774933875471
28,53528,1335,44739,162,7068,469275008,13025,36028,22.40236955317749
3,36741,3672,28983,1419,2373,-826611663,10135,-81558,24.35352969957747
47,58532,43184,1605,3086,9131,2525665211,27118,93134,20.99339917975039
1,54613,29123,3082,1890,19601,1948138835,22692,85850,19.150774941837994
38,59992,35386,1110,3238,19223,1465238522,21203,69102,15.681343938004739
11,57544,19402,1529,17786,17934,1176049278,21008,55980,20.15287783341943
30,51219,10863,2509,1083,36269,833611803,15428,54030,12.086163584550494
39,59546,23166,2287,10214,22343,1378488747,19294,71445,12.854436369379322
12,57471,4462,9735,1842,41245,541759839,12316,43987,12.802375281852507
9,46010,796,43137,43,1817,743103900,16058,46273,14.264850329304938
6,54150,267,52745,128,366,998593683,21599,46232,17.392137483255105
5,41018,6652,31554,1256,970,970018081,17635,55002,14.732471293064949
19,52123,35587,13262,170,2616,1472152027,16595,88709,14.715157888776604
41,62609,50546,492,3013,8203,1246058190,23070,54011,14.496148922151152
23,58956,27997,3229,939,26438,653854227,19588,33380,16.71675740833566
24,48284,982,43727,116,3107,456496439,12352,36954,19.556559316684023
46,46085,24786,8430,5187,6787,1434203201,21696,66103,10.07512870634659
44,55029,44442,1791,3437,4393,2810340775,27434,102439,20.851338809845238
36,59037,34685,2841,2326,18286,1442031021,20983,68722,13.025773199497852
48,43601,23399,7072,6222,5641,1281991544,19958,64234,11.676301181302161
27,52246,17307,23386,2042,8616,1611875720,20024,80494,17.427855201268454
50,58080,26093,5566,13124,11529,1190099192,19585,60765,10.611759206306212
7,38234,557,34209,51,2971,559078067,12327,45352,10.821616746730934
15,46828,1492,31157,233,13537,513697153,12071,42556,14.654397690845608
34,50830,821,48937,92,529,814780729,16056,50743,12.104564307081477
40,51036,25488,4524,8528,11106,1332306831,20673,64443,12.462029712143188
10,58321,10427,11965,91,35610,896582281,18267,49080,15.134087139199204
2,56360,21201,23624,6961,3240,2298880906,26740,85969,19.680877946957064
22,45480,1167,2428,0,41845,442988509,9815,45130,12.410513879342414
35,51671,16623,2963,2021,29134,1119221743,18882,59272,15.35163052243332
32,68832,52779,3603,3224,8081,3800126659,28968,131182,26.693170179717328
17,46498,312,45397,31,386,572080365,15012,38106,15.578976097533848
21,56162,367,54442,90,630,930093798,19285,48227,17.53600334096315
16,48294,1325,26809,100,19496,490569093,12964,37839,18.914632594502184
45,60265,38791,1075,4101,15299,1605023257,22931,69992,13.064945666418668
OUT,23162,19720,13,1289,1937,567416943,9412,60286,4.980502759092318
42,61572,46848,3339,7149,3043,5494299205,40131,136906,15.226974621503164
13,63507,16556,2610,380,43368,1010130264,17605,57374,13.346038408387376
14,59741,6292,657,1135,51377,745156617,15195,49037,14.01789415459446
OUT,493,333,45,16,92,11498576,208,55105,0.08819299621008504
43,49694,39992,3536,3204,2186,3569485754,25083,142301,15.1344794096449
29,55413,3699,36050,286,15159,808550761,17257,46851,11.32280057138767
20,44791,1784,35621,370,6560,384072612,11048,34761,19.52053721124329
