ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts,"Native Born, Male, Over 18","Naturalized U.S. Citizen, Male, Over 18","Native Born, female, Over 18","Naturalized U.S. Citizen, Female, Over 18"
12,58026,5617,5918,3729,42552,640731532,14328,44717,14.533699845768009,12511,3089,7958,3315
16,52800,1176,35429,98,15653,527667126,14183,37201,21.310184691028223,12271,888,15661,795
15,38243,2118,9681,693,25472,401128072,9478,42320,13.142528549221147,6294,1797,7188,1519
20,51653,2408,40615,559,7437,518641975,14593,35539,23.70914062970814,13150,551,17776,522
49,54109,19942,15723,3825,13000,1173275217,21470,54645,11.477843847010124,13891,2401,14798,2700
23,55474,17299,1808,416,35630,430358322,16901,25462,13.754417935621023,10937,3465,11544,3453
29,58613,8913,38535,496,10164,1017770238,19585,51966,12.535182823923696,16465,1283,21584,1512
14,56086,8870,454,1115,45462,757684234,14607,51869,13.658790538613559,8106,3635,8226,3210
3,39870,5712,29392,2378,1818,-444813669,14441,-30801,23.276591938199758,11842,544,15836,691
4,50313,12170,30977,4364,1708,1721592649,23380,73632,19.145554764756497,14569,907,20200,1048
2,54628,40204,4386,3863,5251,3587883539,29319,122373,15.052679301648443,20176,1524,21589,2094
35,54661,11852,2319,2366,37289,990541257,17417,56871,13.492152162844398,10487,2998,10603,3062
21,52517,252,51133,141,544,829451294,18146,45707,16.843307329122524,16130,115,22396,173
24,47616,1076,40950,70,5163,460427690,12369,37223,18.744223670446253,13172,403,16284,386
13,50582,16495,822,327,32599,929419297,15767,58945,11.122678040597352,10243,2871,11383,2921
48,45070,23525,7667,6045,6183,1302959775,20590,63278,12.29990079088544,13924,2367,13272,3180
31,54797,9968,1469,870,41671,827582459,15561,53179,13.15916860091111,9819,3359,10761,3361
47,56851,42602,1423,3573,7940,2861024804,27110,105532,21.711883214748553,19818,1791,20048,2231
38,55163,37321,364,1903,14820,1387083802,20293,68349,13.82104732544807,12622,4549,14646,5716
33,59383,19516,1898,4915,31916,1352473143,19555,69159,13.324727830033343,11742,3852,12650,4147
30,52793,15140,1796,1650,33397,953977123,16601,57461,12.024032782188053,9033,3500,10234,3837
34,52999,1327,50534,71,580,883103382,16748,52726,13.406474191611192,16835,186,22004,151
28,61010,5934,46169,2439,5921,876245655,18761,46704,27.14123820568227,17451,665,20938,878
40,56632,28714,4298,8518,13511,1584269464,23045,68744,13.723136753705166,12646,4930,13006,5509
44,53199,44249,1187,3301,3376,2986964759,27882,107126,20.257987383591633,21006,1079,22285,1651
25,54565,12102,4621,7028,29835,1280851580,20182,63463,14.274390579579993,12031,2957,11474,3655
50,56082,25789,5015,12779,10985,1284808412,18432,69702,9.926356941516424,8919,5437,10075,5801
22,49082,2525,4114,511,41918,574932818,12745,45107,14.699215100600973,6164,2795,6522,2648
41,59141,47399,593,2842,7515,1298133083,23682,54814,13.547991184966264,15771,3920,16550,4893
18,57933,7866,33125,351,16163,1220125807,17990,67819,10.952484199279754,15836,2005,18925,1485
17,49487,834,42712,217,5384,623652124,15568,40057,13.281861404486992,13110,369,18429,489
6,51460,448,49831,29,357,854411838,20198,42300,16.892178429342504,15204,193,22332,141
5,42931,9306,28593,2255,1523,1216240022,19038,63884,16.37632791191228,13086,587,17543,790
43,50362,41297,1920,3045,3087,3628956739,24998,145166,15.302680292699126,18321,1193,20842,1474
8,51649,506,50100,97,536,1054308779,20645,51066,15.832265467503916,16037,226,22518,305
42,49241,34390,2746,7627,3120,4239342940,28984,146264,10.824293761311607,17260,2112,19361,2359
7,38972,621,35381,118,2181,647633219,14227,45520,11.764003826822902,11152,459,16286,431
39,61749,32857,1854,10192,15521,1759173863,21672,81168,13.320540714689496,14375,5206,13723,6007
46,44319,25002,8687,4331,4995,1442315179,19293,74757,9.948805119418353,15887,2055,14027,2630
32,54146,38966,1650,2593,9791,3077558708,24069,127863,22.603625312568127,19687,1339,19196,1817
1,55749,26992,3996,1839,22178,1944090553,23387,83123,21.7644966441181,17831,2179,17391,1865
19,51810,35242,13109,288,2501,1679172223,17523,95825,14.57650629442048,17645,477,19108,597
9,52802,1134,49006,169,1963,874808256,18884,46325,18.052413669754884,15159,321,22199,266
36,52041,13245,2272,1200,34500,843890158,14834,56888,11.058478702425553,9118,3750,9498,3821
37,51999,813,39376,190,11232,654321927,15640,41835,13.18836874777421,14127,677,18409,686
27,59571,19957,28372,3180,6787,1827715508,20096,90946,22.93488358940011,19640,1070,21525,1370
10,56814,9406,13085,164,33855,868873129,17328,50142,15.712355336644773,12135,2913,14855,2712
11,53887,18006,2853,17059,14204,1179579965,20108,58659,18.56437183730567,12665,4110,13255,4650
26,48926,10299,7046,649,30026,786105971,14280,55048,17.22255046797239,12476,1739,13614,2068
45,57574,36325,990,4496,14701,1587491241,21610,73459,13.576326081005293,14456,3872,15047,4801
