ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts
4,42250,6924,30363,2655,1448,1210100437,18660,64848,19.527045647713074
33,55401,18317,1875,4233,30020,1241744185,18138,68459,12.133870424712002
49,50520,18356,15122,3599,11989,1071974222,19762,54242,10.69193856452751
37,47169,972,29110,174,16493,606392207,13803,43931,11.643446671994466
OUT,1130,1007,0,25,97,40811819,436,93568,0.2131823416960523
18,59249,5652,42146,365,10700,1211833863,18735,64681,11.408854883222665
31,61900,8462,1890,815,49795,850585077,16603,51228,14.669862286512503
25,49996,8461,3922,7253,29392,934242907,17818,52430,15.21818730244855
8,48414,484,46994,89,494,1011808622,19634,51531,14.460816816799827
26,49196,12934,6921,787,27605,910298371,15744,57818,20.15774933875471
28,54748,1745,44896,178,7664,543233175,14976,36271,22.40236955317749
3,37958,3729,29242,1487,3053,-723686369,12254,-59055,24.35352969957747
47,59079,43635,1552,3190,9289,2869469896,28189,101792,20.99339917975039
1,54839,29697,3156,2304,18730,2216006888,23467,94429,19.150774941837994
38,59617,33641,697,2674,21428,1473679722,20875,70594,15.681343938004739
11,59459,18252,2010,17363,20253,1167039322,21333,54705,20.15287783341943
30,50454,10594,2377,857,35874,819563535,14763,55513,12.086163584550494
39,59999,24416,2084,10194,22258,1468268117,19882,73848,12.854436369379322
12,54313,3844,7357,2334,40602,503314062,11799,42654,12.802375281852507
9,44528,1016,41185,126,1834,706433743,15804,44698,14.264850329304938
6,50615,525,48772,75,377,915406394,20240,45225,17.392137483255105
5,40055,6437,30071,1434,1025,982325528,17077,57520,14.732471293064949
19,52548,35403,13647,293,2519,1697532836,17784,95448,14.715157888776604
41,63395,50845,613,3159,7924,1444955452,25343,57014,14.496148922151152
23,57598,26946,2314,869,27124,639194045,19014,33616,16.71675740833566
24,49184,814,44703,92,3244,510245158,13721,37186,19.556559316684023
46,44730,25194,8329,4672,5276,1461875295,19581,74655,10.07512870634659
44,54692,45177,1469,3384,3492,3070901780,28699,107002,20.851338809845238
36,57825,32746,3217,2060,18906,1427028990,20768,68710,13.025773199497852
48,42684,21917,7317,6061,5843,1251674605,19685,63583,11.676301181302161
27,53275,18820,22462,2298,8684,1763162549,19641,89765,17.427855201268454
50,60831,27501,5379,14456,11866,1346999627,19756,68181,10.611759206306212
7,35641,705,31462,115,2766,568826602,12381,45940,10.821616746730934
15,45147,1099,28110,134,15445,465313065,11571,40212,14.654397690845608
34,48580,1002,46539,65,537,786279527,15123,51990,12.104564307081477
40,50847,25137,4800,7086,12232,1361960870,20835,65368,12.462029712143188
10,55356,9290,12384,164,33224,856219564,17012,50328,15.134087139199204
2,63009,24863,23643,8795,4071,2289100609,25933,88267,19.680877946957064
22,45455,1223,2244,103,41870,482978284,11629,41529,12.410513879342414
35,50634,17023,2238,1516,28901,1189725578,19019,62553,15.35163052243332
32,68112,52800,2763,3457,7715,4119832055,29698,138721,26.693170179717328
17,43746,322,42507,48,453,530929334,14281,37175,15.578976097533848
21,53531,402,51933,144,570,851711595,18509,46015,17.53600334096315
16,45625,1230,24205,57,19625,469508350,12620,37201,18.914632594502184
45,61573,39301,996,4873,15188,1685579733,23006,73266,13.064945666418668
OUT,23303,20268,88,1160,1592,556611360,9226,60329,4.980502759092318
42,68478,50266,3652,8990,4103,6130263290,44203,138681,15.226974621503164
13,63289,15002,2777,439,44633,1096357200,18622,58872,13.346038408387376
14,61521,5554,809,1527,53523,765458705,15536,49267,14.01789415459446
OUT,521,333,64,5,114,11252597,206,54549,0.08819299621008504
43,50781,40373,3405,3149,2837,3584420302,25225,142097,15.1344794096449
29,53165,2637,35263,288,14788,719008937,16198,44387,11.32280057138767
20,44470,2060,35115,511,6255,456237352,12640,36093,19.52053721124329
