ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts,"Native Born, Male, Over 18","Naturalized U.S. Citizen, Male, Over 18","Native Born, female, Over 18","Naturalized U.S. Citizen, Female, Over 18"
12,59275,5119,6104,4419,43328,664549729,14752,45048,14.533642656016058,12872,3578,8401,3570
16,52128,930,33130,135,17479,517401603,14772,35025,21.31022351122885,12298,924,15101,877
15,37622,1802,8910,745,25841,413922197,10146,40795,13.142623646466097,6238,1622,6946,1666
20,51762,2799,39889,781,7416,569117397,16336,34836,23.709181215051927,13181,527,17786,540
49,52006,20319,14324,3717,12152,1207381177,22267,54220,11.477842883205652,13728,2465,14333,2767
23,56844,16312,1196,493,38597,465913608,16931,27518,13.754417895064796,11527,3874,11483,3918
29,59274,8264,38672,697,11094,1011110579,20187,50086,12.536124678516126,16518,1185,21760,1523
14,57612,8002,498,1389,47533,766017531,15005,51048,13.658672469745763,8106,3716,8250,3594
3,40253,5967,28899,2744,1728,292433024,14482,20192,23.27660815821564,12025,713,16324,773
4,51548,12886,30115,5480,1870,1855990363,24193,76713,19.14556415638091,14847,1143,20299,1280
2,54583,40123,4209,3565,5547,3576703934,29786,120078,15.051970998280526,19417,1577,22124,2188
35,54329,12647,1844,2730,36281,1043719768,17710,58930,13.492159191534762,11530,3055,11097,3146
21,50686,155,49264,69,658,833410867,17973,46369,16.843307380462733,16230,161,22695,187
24,47557,1191,40240,120,5584,448047943,12438,36020,18.744223152164512,13290,339,16854,333
13,53527,16659,971,441,35213,990577868,16032,61786,11.122678210680734,11219,3087,12191,3374
48,44092,24219,6996,5324,5967,1473813912,22097,66697,12.304299575816595,14185,2336,13454,3045
31,53751,9625,1217,1307,40878,853353324,16114,52954,13.15916860091111,9709,3289,10917,3458
47,58536,44559,1612,3207,7600,2959767220,25620,115523,21.711877694018515,20206,1628,21546,2187
38,56134,36530,632,2115,16225,1416472130,20530,68993,13.821043997489891,13498,4634,14684,5625
33,57320,19922,1798,4588,29633,1336816750,19287,69309,13.324728924205383,12344,3498,12156,3815
30,53652,15006,1324,1663,34701,931643472,16412,56763,12.02403295801851,9433,3207,10380,3890
34,52236,1239,49731,68,542,843361256,16386,51467,13.410087412902488,16726,210,21707,184
28,60429,5999,45194,2103,6700,889195453,18506,48047,27.141251283674396,17603,830,21250,755
40,56094,29032,4212,9288,11760,1655992439,22917,72258,13.721765957673641,13081,5149,13213,5501
44,53786,43737,1375,3688,3579,3129225585,27899,112161,20.258462277795388,21605,1138,21642,1623
25,54423,12347,4667,7758,28675,1346620337,20190,66695,14.274449960189578,12706,3186,12172,3827
50,56733,26825,5144,12826,10254,1290143482,18691,69021,10.012585857205009,9135,5660,10232,5908
22,49682,2331,3730,398,43056,560558263,13161,42591,14.699536812734724,6899,3095,6679,2896
41,58826,46689,650,2852,7361,1315612419,23504,55973,13.595653802478553,15723,4059,16706,4787
18,57815,6863,31450,382,18516,1201084055,17855,67267,10.952484069739391,15936,1917,18924,1597
17,49307,839,40949,211,6706,644764302,15669,41147,13.281884999645532,13475,447,18623,557
6,50267,485,48428,23,624,806681977,19201,42010,16.892167769565336,15432,265,21805,160
5,44375,9387,29499,2559,1689,1126916491,18997,59318,16.376155342229048,13046,628,17834,800
43,51036,41676,2207,2765,3182,3505372129,24693,141952,15.30261693404439,19519,1012,20558,1369
8,48422,655,46573,148,642,944306504,19692,47953,15.845821435819982,15909,244,21273,323
42,55693,38076,3236,9129,3721,4901305695,34853,140627,10.824243782627534,19895,2439,21406,2435
7,38480,913,34550,111,2232,603185677,13489,44714,11.751173032677242,11325,468,16103,508
39,61403,31776,1729,10667,15901,1788792668,21454,83377,13.3201004553731,14040,5357,14165,5741
46,43490,24801,8451,3683,4998,1735592654,24338,71311,9.94868352129486,15926,2165,13891,2473
32,56394,40832,1438,2274,10310,3197369128,24382,131131,22.603519309881225,20126,1223,20014,1709
1,55788,27911,3513,1856,21191,2083557453,23088,90241,21.760596115665635,18076,1987,17843,1808
19,51870,33995,13738,548,2814,1677029357,17191,97547,14.576504255991113,17833,449,19684,552
9,50569,1136,46719,164,2132,797236178,18176,43861,18.047931351879814,14180,336,21708,397
36,53567,12836,2100,1162,36836,885094685,15322,57763,11.057538168096386,9917,3687,9618,3665
37,51835,914,38749,193,11445,652448991,15557,41937,13.188368744658176,14616,726,18417,531
27,61956,21631,27594,3342,8191,2165412227,24314,89058,22.934902581750553,19928,1269,22530,1353
10,55559,9025,12863,102,33289,882720561,17625,50081,15.709950216345703,12543,3045,14626,3152
11,54463,17928,3080,17527,14448,1162293278,19883,58454,18.564373144889725,13006,4077,13524,4614
26,49176,10568,6989,667,29936,895276077,15853,56473,17.227187220260618,13016,1750,13439,1969
45,57379,36165,873,4245,14828,1663872533,21687,76718,13.576079972642885,15031,4258,15037,5156
