WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,27621,6324,Circuit Court Judge (Vac. of Foreman),James C. Murray,1051
1,27621,6324,Circuit Court Judge (Vac. of Foreman),Margaret Ann Carey,965
1,27621,6324,Circuit Court Judge (Vac. of Foreman),Mary Therese Quinn,765
1,27621,6324,Circuit Court Judge (Vac. of Foreman),Patrick T. Murphy,1122
1,27621,6324,Circuit Court Judge (Vac. of Foreman),Richard Frederick Johnson,376
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),Barbara Anne Bailey,560
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),Bridget Healy Ryan,367
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),David G. McDermott,264
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),Kathleen Marie Burke,975
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),Michael J. (Yakov) Fox,303
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),Thomas G. O'Brien,304
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),Timothy Michael Kelly,558
1,27621,6324,Circuit Court Judge (Vac. of O'Malley),William James Haddad,967
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Amy Marie Corrigan,631
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Annie O'Donnell,931
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Charles Fitzgerald,838
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Denise Y. Staniec,556
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Laurence J. Dunford,420
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Michael Patrick Casey,218
1,27621,6324,Circuit Court Judge (Vac. of Orlando),Patrick D. Flanagan,638
1,27621,6324,Circuit Court Judge (Vac. of Salyers),Jeanne Marie Reynolds,683
1,27621,6324,Circuit Court Judge (Vac. of Salyers),Kathleen Ann Panozzo,747
1,27621,6324,Circuit Court Judge (Vac. of Salyers),Michelle Jordan,1670
1,27621,6324,Circuit Court Judge (Vac. of Salyers),Patrick Dennis Riley,809
1,27621,6324,Circuit Court Judge (Vac. of Salyers),William Burnett Raines,298
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),Edwin Jon Belz,222
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),John Noonan Farrell,180
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),Lisa R. Curcio,1405
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),Mary Beth Duffy,421
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),Mary Lou Ryan Norwell,240
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),Susan Patricia Malone,785
1,27621,6324,Circuit Court Judge (Vac. of Siracusa),Terrence J. McConville,132
