WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,34268,23918,Aicha Marie MacCarthy,No,2294
1,34268,23918,Aicha Marie MacCarthy,Yes,12869
1,34268,23918,Andrea M. Schleifer,No,4718
1,34268,23918,Andrea M. Schleifer,Yes,10666
1,34268,23918,Anne M. Burke,No,2471
1,34268,23918,Anne M. Burke,Yes,14583
1,34268,23918,Ban Straws,No,7208
1,34268,23918,Ban Straws,Yes,14282
1,34268,23918,Beatriz Santiago,No,2480
1,34268,23918,Beatriz Santiago,Yes,13203
1,34268,23918,Carl Anthony Walker,No,2752
1,34268,23918,Carl Anthony Walker,Yes,12374
1,34268,23918,Carl B. Boyd,No,2945
1,34268,23918,Carl B. Boyd,Yes,12055
1,34268,23918,Carol M. Howard,No,2302
1,34268,23918,Carol M. Howard,Yes,13065
1,34268,23918,Catherine Marie Haberkorn,No,3037
1,34268,23918,Catherine Marie Haberkorn,Yes,12478
1,34268,23918,Celia Louise Gamrath,No,2257
1,34268,23918,Celia Louise Gamrath,Yes,13032
1,34268,23918,Colleen F. Sheehan,No,2261
1,34268,23918,Colleen F. Sheehan,Yes,13107
1,34268,23918,Cynthia Ramirez,No,1950
1,34268,23918,Cynthia Ramirez,Yes,13704
1,34268,23918,Daniel Patrick Brennan,No,3042
1,34268,23918,Daniel Patrick Brennan,Yes,12115
1,34268,23918,Daniel R. Degnan,No,3136
1,34268,23918,Daniel R. Degnan,Yes,11833
1,34268,23918,Diane M. Shelley,No,2176
1,34268,23918,Diane M. Shelley,Yes,13051
1,34268,23918,Diann Karen Marsalek,No,2293
1,34268,23918,Diann Karen Marsalek,Yes,12854
1,34268,23918,"E. Kenneth Wright, Jr.",No,2749
1,34268,23918,"E. Kenneth Wright, Jr.",Yes,12625
1,34268,23918,Earned Sick Time,No,1189
1,34268,23918,Earned Sick Time,Yes,20400
1,34268,23918,Edward M. Maloney,No,3133
1,34268,23918,Edward M. Maloney,Yes,11836
1,34268,23918,Elizabeth Mary Hayes,No,2134
1,34268,23918,Elizabeth Mary Hayes,Yes,13085
1,34268,23918,Ellen L. Flannigan,No,2620
1,34268,23918,Ellen L. Flannigan,Yes,12775
1,34268,23918,Erica L. Reddick,No,2203
1,34268,23918,Erica L. Reddick,Yes,12992
1,34268,23918,Grace G. Dickler,No,2281
1,34268,23918,Grace G. Dickler,Yes,13065
1,34268,23918,Gun Dealer Penalties,No,1674
1,34268,23918,Gun Dealer Penalties,Yes,19929
1,34268,23918,James M. Varga,No,6589
1,34268,23918,James M. Varga,Yes,9355
1,34268,23918,James Michael McGing,No,3186
1,34268,23918,James Michael McGing,Yes,11863
1,34268,23918,James Patrick Murphy,No,2970
1,34268,23918,James Patrick Murphy,Yes,12130
1,34268,23918,Jill C. Marisie,No,2354
1,34268,23918,Jill C. Marisie,Yes,12896
1,34268,23918,Joan Margaret O'Brien,No,2550
1,34268,23918,Joan Margaret O'Brien,Yes,12851
1,34268,23918,John H. Ehrlich,No,2993
1,34268,23918,John H. Ehrlich,Yes,11964
1,34268,23918,Joyce Marie Murphy Gorman,No,2463
1,34268,23918,Joyce Marie Murphy Gorman,Yes,12864
1,34268,23918,"Judge, 6th Subcircuit (Vac of Chevere)",Kent Delgado,18001
1,34268,23918,"Judge, 6th Subcircuit (Vac of Cooke)",Andrea Michelle Webber,17890
1,34268,23918,"Judge, 6th Subcircuit (Vac of Lopez Cepero)",Linda Perez,17708
1,34268,23918,"Judge, Cook County Circuit (Vac of Brewer)",Kathryn Maloney Vahey,19163
1,34268,23918,"Judge, Cook County Circuit (Vac of Clay)",Kathaleen Theresa Lanahan,18868
1,34268,23918,"Judge, Cook County Circuit (Vac of Dooling)",Tom Sam Sianis,18741
