WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,23944,342,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,133
2,27019,411,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,199
3,23172,114,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,32
4,27235,174,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,84
5,28453,270,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,117
6,35568,149,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,59
7,30179,177,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,74
8,37144,153,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,61
9,33960,269,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,85
10,29012,698,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,378
11,25253,394,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,190
12,14063,197,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,100
13,28303,684,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,387
14,18595,459,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,259
15,30536,154,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,79
16,22491,158,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,50
17,30352,153,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,58
18,34966,227,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,115
19,36365,989,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,605
20,25847,128,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,45
21,38549,136,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,54
22,17680,141,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,64
23,30904,918,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,535
24,30772,158,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,37
25,16489,496,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,118
26,24103,308,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,154
27,32486,765,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,304
28,30750,113,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,27
29,32313,264,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,119
30,22378,633,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,353
31,22403,313,JUDGE OF THE APPELLATE COURT (DANIEL J MCNAMARA VACANCY),JOHN JOSEPH COYNE,149
