WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,33159,498,"Judge, 6th Subcircuit (Vacancy of Chevere)",No Candidate,0
1,33159,498,"Judge, 6th Subcircuit (Vacancy of Cooke)",No Candidate,0
1,33159,498,"Judge, 6th Subcircuit (Vacancy of Lopez Cepero)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vac. of Prendergast)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Brewer)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Clay)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Dooling)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Dunford)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Egan)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Flanagan)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Hartigan)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of Jordan)",No Candidate,0
1,33159,498,"Judge, Cook County Circuit (Vacancy of McGinnis)",No Candidate,0
2,36179,1433,"Judge, 6th Subcircuit (Vacancy of Chevere)",No Candidate,0
2,36179,1433,"Judge, 6th Subcircuit (Vacancy of Cooke)",No Candidate,0
2,36179,1433,"Judge, 6th Subcircuit (Vacancy of Lopez Cepero)",No Candidate,0
2,36179,1433,"Judge, 8th Subcircuit (Vacancy of Fabri)",No Candidate,0
2,36179,1433,"Judge, 8th Subcircuit (Vacancy of Liu)",No Candidate,0
2,36179,1433,"Judge, 8th Subcircuit (Vacancy of Pethers)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vac. of Prendergast)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Brewer)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Clay)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Dooling)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Dunford)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Egan)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Flanagan)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Hartigan)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of Jordan)",No Candidate,0
2,36179,1433,"Judge, Cook County Circuit (Vacancy of McGinnis)",No Candidate,0
3,34346,449,"Judge, 14th Subcircuit (Vacancy of Garcia)",No Candidate,0
3,34346,449,"Judge, 5th Subcircuit (Vacancy of Banks)",No Candidate,0
3,34346,449,"Judge, 5th Subcircuit (Vacancy of Jones)",No Candidate,0
